Company Name,Sanctions Program,Country,Risk Details
BEHINEH TRADING,SDGT] [IFSR,,"Additional Sanctions Information - Subject to Secondary Sanctions; Secondary sanctions risk: section 1(b) of Executive Order 13224, as amended by Executive Order 13886."
"IRAN MARINE INDUSTRIAL COMPANY, SADRA",SDGT] [NPWMD] [IRGC] [IFSR,,"Website www.sadra.ir; Additional Sanctions Information - Subject to Secondary Sanctions; Secondary sanctions risk: section 1(b) of Executive Order 13224, as amended by Executive Order 13886."
"DEEP OFFSHORE TECHNOLOGY COMPANY,  P.J.S.",SDGT] [NPWMD] [IRGC] [IFSR,,"Additional Sanctions Information - Subject to Secondary Sanctions; Secondary sanctions risk: section 1(b) of Executive Order 13224, as amended by Executive Order 13886."
DATAK TELECOM,HRIT-IR,HRIT-IR,Additional Sanctions Information - Subject to Secondary Sanctions.
NEW AHMADI LTD.,SDNTK,,
MOHAMMAD WALI MONEY EXCHANGE,SDNTK,,
EGHTESAD NOVIN BANK,IRAN] [IRAN-EO13902,,SWIFT/BIC BEGNIRTH; Website www.enbank.ir; Additional Sanctions Information - Subject to Secondary Sanctions.
PASARGAD BANK,IRAN] [IRAN-EO13902,,SWIFT/BIC BKBPIRTH; Website www.bpi.ir; alt. Website www.bankpasargad.ir; Additional Sanctions Information - Subject to Secondary Sanctions.
KARAFARIN BANK,IRAN] [IRAN-EO13902,,SWIFT/BIC KBIDIRTH; Website www.karafarinbank.com; Additional Sanctions Information - Subject to Secondary Sanctions.
SAMAN BANK,IRAN] [IRAN-EO13902,,SWIFT/BIC SABCIRTH; Website sb24.ir; Additional Sanctions Information - Subject to Secondary Sanctions.
SARMAYEH BANK,IRAN] [IRAN-EO13902,,Website www.sbank.ir; Additional Sanctions Information - Subject to Secondary Sanctions.
TAT BANK,IRAN,,SWIFT/BIC TATBIRTH.
BANK-E SHAHR,IRAN] [IRAN-EO13902,,Website shahr-bank.ir; Additional Sanctions Information - Subject to Secondary Sanctions.
HEKMAT IRANIAN BANK,IRAN] [NPWMD] [IFSR,,Website www.hibank24.ir; Additional Sanctions Information - Subject to Secondary Sanctions; Linked To: BANK SEPAH.
TOURISM BANK,IRAN] [IRAN-EO13902,,Website www.tourismbank.ir; Additional Sanctions Information - Subject to Secondary Sanctions.
IRAN ZAMIN BANK,IRAN] [IRAN-EO13902,,Website www.izbank.com; Additional Sanctions Information - Subject to Secondary Sanctions.
MEHR IRAN CREDIT UNION BANK,IRAN] [IRAN-EO13902,,Website www.qmb.ir; Additional Sanctions Information - Subject to Secondary Sanctions.
TOSEE TAAVON BANK,IRAN] [IRAN-EO13902,,Website www.ttbank.ir; Additional Sanctions Information - Subject to Secondary Sanctions.
ISLAMIC REGIONAL COOPERATION BANK,IRAN] [IRAN-EO13902,,SWIFT/BIC RCDFIQBA; Additional Sanctions Information - Subject to Secondary Sanctions; Linked To: EGHTESAD NOVIN BANK.
CREDIT INSTITUTION FOR DEVELOPMENT,IRAN,,
MALEK ASHTAR UNIVERSITY OF TECHNOLOGY,NPWMD] [IFSR,,Website www.mut.ac.ir; Additional Sanctions Information - Subject to Secondary Sanctions.
INTERNATIONAL GENERAL RESOURCING FZE,NPWMD] [IFSR,,Additional Sanctions Information - Subject to Secondary Sanctions.
MINISTRY OF DEFENSE LOGISTICS EXPORT,NPWMD] [IFSR,,Additional Sanctions Information - Subject to Secondary Sanctions.
ABDALLAH AZZAM BRIGADES,FTO] [SDGT,,"Secondary sanctions risk: section 1(b) of Executive Order 13224, as amended by Executive Order 13886."
ORBITAL HORIZONS CORP.,SDNTK,Panama,RUC # 1196790-1-581234 (Panama).
INDUITEX LTDA.,SDNTK,Colombia,NIT # 9001451701 (Colombia).
"I&S HOLDING COMPANY, S.A.",SDNTK,Panama,RUC # 1199542-1-581763 (Panama).
DISTRIBUIDORA GERMAY S.A. DE C.V.,SDNTK,Mexico,Registration ID NBC80114835 (Mexico).
"ESTACIONES DE SERVICIOS CANARIAS, S.A. DE C.V.",SDNTK,Mexico,R.F.C. ESC-100224-2J9 (Mexico).
INDUSTRIAL SOLUTIONS,NPWMD,,
MECHANICAL CONSTRUCTION FACTORY,NPWMD,,
SYRONICS,NPWMD,,
C.I. DEL ISTMO S.A.S.,SDNTK,Colombia,NIT # 9000144704 (Colombia); Matricula Mercantil No 1461858 (Colombia).
LOLALIMES,SDNTK,,
HANDASIEH,NPWMD,,
"GASOLINERA Y SERVICIOS VILLABONITA, S.A. DE C.V.",SDNTK,Mexico,R.F.C. GSV-100224-773 (Mexico).
"GRUPO CINJAB, S.A. DE C.V.",SDNTK,Mexico,R.F.C. GCI-080604-891 (Mexico).
"GRUPO IMPERGOZA, S.A. DE C.V.",SDNTK,Mexico,R.F.C. GIM-081015-SIA (Mexico).
"PETROBARRANCOS, S.A. DE C.V.",SDNTK,Mexico,R.F.C. PET-990309-G64 (Mexico).
CONSTRUCTORA W.L.,SDNTK,Guatemala,NIT # 4965647 (Guatemala).
CONSTRUCTORA H.L.P.,SDNTK,Guatemala,NIT # 557109K (Guatemala).
TRANSPORTES J.L. CORDON,SDNTK,Guatemala,NIT # 4985931 (Guatemala).
CONSTRUCTORA H.L.T.,SDNTK,Guatemala,Folio Mercantil No. 227138 (Guatemala).
ADMINISTRADORA DEL ORIENTE,SDNTK,Guatemala,NIT # 7142099 (Guatemala).
IMPORTADORA Y EXPORTADORA LORENZANA,SDNTK,Guatemala,NIT # 35599 (Guatemala).
"INVERSIONES IRIS MANUELA, S.A.",SDNTK,Guatemala,NIT # 2688827-0 (Guatemala).
PENTANE CHEMISTRY INDUSTRIES,NPWMD] [IFSR,,Additional Sanctions Information - Subject to Secondary Sanctions; a.k.a. 'PCI'.
"BUENOS AIRES SERVICIOS, S.A. DE C.V.",SDNTK,Mexico,R.F.C. BAS-960417-PY6 (Mexico).
COMERCIALIZADORA GERMAY DE SONORA S.A. DE C.V.,SDNTK,,
"GASODIESEL Y SERVICIOS ANCONA, S.A. DE C.V.",SDNTK,Mexico,R.F.C. GSA-100223-M92 (Mexico).
"GASOLINERA ALAMOS COUNTRY, S.A. DE C.V.",SDNTK,Mexico,R.F.C. GAC-100224-GDA (Mexico).
BUSINESS LAB,NPWMD,,
MEZA FLORES DRUG TRAFFICKING ORGANIZATION,SDNTK,,
ROSHAN MONEY EXCHANGE,SDGT,,"Secondary sanctions risk: section 1(b) of Executive Order 13224, as amended by Executive Order 13886; Linked To: TALIBAN."
HAJI KHAIRULLAH HAJI SATTAR MONEY EXCHANGE,SDGT,Afghanistan,"Secondary sanctions risk: section 1(b) of Executive Order 13224, as amended by Executive Order 13886; Tax ID No. 1774308 (Pakistan); alt. Tax ID No. 0980338 (Pakistan); alt. Tax ID No. 3187777 (Pakistan); Afghan Money Service Provider License Number 044 (Afghanistan); Linked To: TALIBAN."
"SERVICIOS CHULAVISTA, S.A. DE C.V.",SDNTK,Mexico,R.F.C. SCU-070904-T25 (Mexico).
"ADT PETROSERVICIOS, S.A. DE C.V.",SDNTK,Mexico,R.F.C. APE010515F17 (Mexico).
INFORMATION SYSTEMS IRAN,NPWMD] [IFSR,,Additional Sanctions Information - Subject to Secondary Sanctions.
ELECTRONIC COMPONENTS INDUSTRIES CO,NPWMD] [IFSR,,Additional Sanctions Information - Subject to Secondary Sanctions; a.k.a. 'ECI'.
ADVANCED INFORMATION AND COMMUNICATION TECHNOLOGY CENTER,NPWMD] [IFSR,,Website www.aictc.ir; Additional Sanctions Information - Subject to Secondary Sanctions; a.k.a. 'AICT'.
DIGITAL MEDIA LAB,NPWMD] [IFSR,,Additional Sanctions Information - Subject to Secondary Sanctions.
MOBILE VALUE-ADDED SERVICES LABORATORY,NPWMD] [IFSR,,Website www.vaslab.ir; Additional Sanctions Information - Subject to Secondary Sanctions.
D'S SUPERMARKET COMPANY LTD.,SDNTK,,
AUTO SERVICIO JATZIRY S.A. DE C.V.,SDNTK,Mexico,"Registration ID 12577 (Mexico); Linked To: MEZA FLORES, Fausto Isidro."
CONSTRUCTORA JATZIRY DE GUASAVE S.A. DE C.V.,SDNTK,,"Registration ID 13554; Linked To: MEZA FLORES, Fausto Isidro."
AUTOTRANSPORTES TERRESTRES S.A. DE C.V.,SDNTK,,"Linked To: MEZA FLORES, Fausto Isidro."
NATIONAL IRANIAN TANKER COMPANY,IRAN] [SDGT] [IFSR] [IFCA,Iran,"Website www.nitc.co.ir; Email Address info@nitc.co.ir; alt. Email Address administrator@nitc.co.ir; IFCA Determination - Involved in the Shipping Sector; Additional Sanctions Information - Subject to Secondary Sanctions; Secondary sanctions risk: section 1(b) of Executive Order 13224, as amended by Executive Order 13886; National ID No. 4891 (Iran); Telephone (98)(21)(66153220); Telephone (98)(21)(23803202); Telephone (98)(21)(23803303); Telephone (98)(21)(66153224); Telephone (98)(21)(23802230); Telephone (98)(9121115315);  Telephone (98)(9128091642); Telephone (98)(9127389031); Fax (98)(21)(22224537); Fax (98)(21)(23803318); Fax (98)(21)(22013392); Fax (98)(21)(22058763); Linked To: ISLAMIC REVOLUTIONARY GUARD CORPS (IRGC)-QODS FORCE."
NATIONAL IRANIAN TANKER COMPANY LLC,IRAN,,Website http://nitcsharjah.com/index.html; Additional Sanctions Information - Subject to Secondary Sanctions; Telephone +97165030600; Telephone + 97165749996; Telephone +971506262258; Fax +97165394666; Fax +97165746661; Linked To: NATIONAL IRANIAN TANKER COMPANY.
N.I.T.C. REPRESENTATIVE OFFICE,IRAN,,Email Address nitcrdam@tiscali.net; Additional Sanctions Information - Subject to Secondary Sanctions; Telephone +31 010-4951863; Telephone +31 10-4360037; Fax +31 10-4364096; Linked To: NATIONAL IRANIAN TANKER COMPANY.
ARTA SHIPPING ENTERPRISES LIMITED,IRAN,,Additional Sanctions Information - Subject to Secondary Sanctions; Telephone (357)(22660766); Fax (357)(22678777); Linked To: NATIONAL IRANIAN TANKER COMPANY.
ARASH SHIPPING ENTERPRISES LIMITED,IRAN,,Additional Sanctions Information - Subject to Secondary Sanctions; Telephone (357)(22660766); Fax (357)(22678777); Linked To: NATIONAL IRANIAN TANKER COMPANY.
PROTON PETROCHEMICALS SHIPPING LIMITED,IRAN,,Additional Sanctions Information - Subject to Secondary Sanctions; Telephone (357)(22660766); Fax (357)(22668608); a.k.a. 'PSC'; Linked To: NATIONAL IRANIAN TANKER COMPANY.
DANESH SHIPPING COMPANY LIMITED,IRAN,,Additional Sanctions Information - Subject to Secondary Sanctions; Telephone (357)(22660766); Fax (357)(22668608); Linked To: NATIONAL IRANIAN TANKER COMPANY.
DAVAR SHIPPING CO LTD,IRAN,,Additional Sanctions Information - Subject to Secondary Sanctions; Telephone (357)(22660766); Fax (357)(22678777); Linked To: NATIONAL IRANIAN TANKER COMPANY.
HADI SHIPPING COMPANY LIMITED,IRAN,,Additional Sanctions Information - Subject to Secondary Sanctions; Telephone (357)(22660766); Fax (357)(22668608); Linked To: NATIONAL IRANIAN TANKER COMPANY.
HARAZ SHIPPING COMPANY LIMITED,IRAN,,Additional Sanctions Information - Subject to Secondary Sanctions; Telephone (357)(22660766); Fax (357)(22668608); Linked To: NATIONAL IRANIAN TANKER COMPANY.
HATEF SHIPPING COMPANY LIMITED,IRAN,,Additional Sanctions Information - Subject to Secondary Sanctions; Telephone (357)(22660766); Fax (357)(22668608); Linked To: NATIONAL IRANIAN TANKER COMPANY.
HIRMAND SHIPPING COMPANY LIMITED,IRAN,,Additional Sanctions Information - Subject to Secondary Sanctions; Telephone (357)(22660766); Fax (357)(22668608); Linked To: NATIONAL IRANIAN TANKER COMPANY.
HODA SHIPPING COMPANY LIMITED,IRAN,,Additional Sanctions Information - Subject to Secondary Sanctions; Telephone (357)(22660766); Fax (357)(22668608); Linked To: NATIONAL IRANIAN TANKER COMPANY.
HOMA SHIPPING COMPANY LIMITED,IRAN,,Additional Sanctions Information - Subject to Secondary Sanctions; Telephone (357)(22660766); Fax (357)(22668608); Linked To: NATIONAL IRANIAN TANKER COMPANY.
HONAR SHIPPING COMPANY LIMITED,IRAN,,Additional Sanctions Information - Subject to Secondary Sanctions; Telephone (357)(22660766); Fax (357)(22668608); Linked To: NATIONAL IRANIAN TANKER COMPANY.
TC SHIPPING COMPANY LIMITED,IRAN,,Additional Sanctions Information - Subject to Secondary Sanctions; Telephone (357)(22660766); Fax (357)(22668608); Linked To: NATIONAL IRANIAN TANKER COMPANY.
MEHRAN SHIPPING COMPANY LIMITED,IRAN,,Additional Sanctions Information - Subject to Secondary Sanctions; Telephone (357)(22660766); Fax (357)(22668608); Linked To: NATIONAL IRANIAN TANKER COMPANY.
MERSAD SHIPPING COMPANY LIMITED,IRAN,,Additional Sanctions Information - Subject to Secondary Sanctions; Telephone (357)(22660766); Fax (357)(22668608); Linked To: NATIONAL IRANIAN TANKER COMPANY.
SAMAN SHIPPING COMPANY LIMITED,IRAN,,Additional Sanctions Information - Subject to Secondary Sanctions; Telephone (357)(22660766); Fax (357)(22668608); Linked To: NATIONAL IRANIAN TANKER COMPANY.
ASAN SHIPPING ENTERPRISE LIMITED,IRAN,,Additional Sanctions Information - Subject to Secondary Sanctions; Telephone (356)(21241817); Fax (356)(25990640); Linked To: NATIONAL IRANIAN TANKER COMPANY.
SARV SHIPPING COMPANY LIMITED,IRAN,,Additional Sanctions Information - Subject to Secondary Sanctions; Telephone (356)(21241232); Linked To: NATIONAL IRANIAN TANKER COMPANY.
SEPID SHIPPING COMPANY LIMITED,IRAN,,Additional Sanctions Information - Subject to Secondary Sanctions; Telephone (356)(21241232); Linked To: NATIONAL IRANIAN TANKER COMPANY.
SIMA SHIPPING COMPANY LIMITED,IRAN,,Additional Sanctions Information - Subject to Secondary Sanctions; Telephone (356)(21241232); Linked To: NATIONAL IRANIAN TANKER COMPANY.
SINA SHIPPING COMPANY LIMITED,IRAN,,Additional Sanctions Information - Subject to Secondary Sanctions; Telephone (356)(21241232); Linked To: NATIONAL IRANIAN TANKER COMPANY.
CASPIAN MARITIME LIMITED,IRAN,,Additional Sanctions Information - Subject to Secondary Sanctions; Telephone (357)(25800000); Fax (357)(25588055); Linked To: NATIONAL IRANIAN TANKER COMPANY.
MINAB SHIPPING COMPANY LIMITED,IRAN,,Additional Sanctions Information - Subject to Secondary Sanctions; Telephone (357)(22660766); Fax (357)(22668608); Linked To: NATIONAL IRANIAN TANKER COMPANY.
PARS PETROCHEMICAL SHIPPING COMPANY,IRAN,,Website www.parsshipping.com; Additional Sanctions Information - Subject to Secondary Sanctions; Linked To: NATIONAL IRANIAN TANKER COMPANY.
DENA TANKERS FZE,IRAN,,Additional Sanctions Information - Subject to Secondary Sanctions; Linked To: NATIONAL IRANIAN TANKER COMPANY.
CENTER FOR INNOVATION AND TECHNOLOGY COOPERATION,NPWMD] [IFSR,,Additional Sanctions Information - Subject to Secondary Sanctions; a.k.a. 'CITC'; a.k.a. 'TCO'; f.k.a. 'POSIS'; f.k.a. 'OSIS'.
PETRO SUISSE INTERTRADE COMPANY SA,IRAN,,Additional Sanctions Information - Subject to Secondary Sanctions.
HONG KONG INTERTRADE COMPANY,IRAN,,Additional Sanctions Information - Subject to Secondary Sanctions.
NOOR ENERGY (MALAYSIA) LTD.,IRAN,,Additional Sanctions Information - Subject to Secondary Sanctions; Company Number LL08318.
PETRO ENERGY INTERTRADE COMPANY,IRAN,,Additional Sanctions Information - Subject to Secondary Sanctions.
CORPORACION HANDAL S. DE R.L.,SDNTK,,
AUTO PARTES HANDAL S. DE R.L. DE C.V.,SDNTK,Honduras,Tax ID No. 3ET38QN (Honduras); alt. Tax ID No. 05019001468346 (Honduras).
SUPERTIENDAS HANDAL S. DE R.L.,SDNTK,Honduras,Tax ID No. REFXT9I (Honduras).
JM TROYA,SDNTK,,
J & E S. DE R.L. DE C.V.,SDNTK,,
RANCHO LA HERRADURA,SDNTK,,
EASY CASH S. DE R.L.,SDNTK,,
COMERCIALIZADORA CACHO S.A. DE C.V.,SDNTK,,Identification Number NBC 80114829.
"URBANIZADORA NUEVA ITALIA, S.A. DE C.V.",SDNTK,Mexico,R.F.C. UNI-031118-2I6 (Mexico).
"SOCIALIKA RENTAS Y CATERING, S.A. DE C.V.",SDNTK,Mexico,R.F.C. SRC-080222-274 (Mexico).
MS-13,FTO] [SDGT] [TCO,,"Secondary sanctions risk: section 1(b) of Executive Order 13224, as amended by Executive Order 13886; Organization Type: Transnational Terrorist Group; Target Type Criminal Organization."
HAQQANI NETWORK,FTO] [SDGT,,"Secondary sanctions risk: section 1(b) of Executive Order 13224, as amended by Executive Order 13886; a.k.a. 'HQN'."
ARMY SUPPLY BUREAU,NPWMD] [IFSR,,Additional Sanctions Information - Subject to Secondary Sanctions.
BELVNESHPROMSERVICE,NPWMD] [IFSR,,Additional Sanctions Information - Subject to Secondary Sanctions.
WAQFIYA RI'AYA AL-USRA AL-FILISTINYA WA AL-LUBNANYA,SDGT,,"Email Address Wakf_osra@hotmail.com; alt. Email Address Wakf_oara@yahoo.com; alt. Email Address Wrfl77@hotmail.com; alt. Email Address wafla@terra.net.lb; Secondary sanctions risk: section 1(b) of Executive Order 13224, as amended by Executive Order 13886; Registered Charity No. 1455/99; alt. Registered Charity No. 1155/99; a.k.a. 'WAFRA'."
AL-QUDS INTERNATIONAL FOUNDATION,SDGT,,"Website www.alquds-online.org; Email Address institution@alquds-online.org; alt. Email Address alquds_institution@yahoo.com; alt. Email Address info@alquds-city.com; Secondary sanctions risk: section 1(b) of Executive Order 13224, as amended by Executive Order 13886; a.k.a. 'IJF'."
SUMIYOSHI-KAI,TCO,,
"DESARROLLOS EVEREST, S.A. DE C.V.",SDNTK,Mexico,R.F.C. DEV-031020 (Mexico).
LOS RASTROJOS,SDNTK,,
BAQIYATTALLAH UNIVERSITY OF MEDICAL SCIENCES,SDGT] [NPWMD] [IRGC] [IFSR,,"Website http://www.bmsu.ac.ir/; Additional Sanctions Information - Subject to Secondary Sanctions; Secondary sanctions risk: section 1(b) of Executive Order 13224, as amended by Executive Order 13886."
IMAM HOSSEIN UNIVERSITY,SDGT] [NPWMD] [IRGC] [IFSR,,"Website www.ihu.ac.ir; Additional Sanctions Information - Subject to Secondary Sanctions; Secondary sanctions risk: section 1(b) of Executive Order 13224, as amended by Executive Order 13886."
"TEHRAN GOSTARESH COMPANY, P.J.S.",SDGT] [NPWMD] [IRGC] [IFSR,,"Additional Sanctions Information - Subject to Secondary Sanctions; Secondary sanctions risk: section 1(b) of Executive Order 13224, as amended by Executive Order 13886."
MINISTRY OF CULTURE AND ISLAMIC GUIDANCE,IRAN-TRA,,Additional Sanctions Information - Subject to Secondary Sanctions.
PRESS SUPERVISORY BOARD,IRAN-TRA,,Additional Sanctions Information - Subject to Secondary Sanctions.
AMNAFZAR GOSTAR-E SHARIF,IRAN-TRA,,Website http://www.amnafzar.com; Email Address info@amnafzar.com; Additional Sanctions Information - Subject to Secondary Sanctions.
PEYKASA,IRAN-TRA,,Website http://peykasa.com; Email Address info@peykasa.ir; alt. Email Address rasoul.jalili@peykasa.ir; Additional Sanctions Information - Subject to Secondary Sanctions.
CENTER TO INVESTIGATE ORGANIZED CRIME,IRAN-TRA,,Website http://www.gerdab.ir; Additional Sanctions Information - Subject to Secondary Sanctions.
IRAN POOYA,NPWMD] [IFSR,,Additional Sanctions Information - Subject to Secondary Sanctions; Business Registration Document # 5566.
RAHAT LTD,SDGT,,"Secondary sanctions risk: section 1(b) of Executive Order 13224, as amended by Executive Order 13886."
ARIA NIKAN MARINE INDUSTRY,NPWMD] [IFSR,,Website www.arianikan.com; Additional Sanctions Information - Subject to Secondary Sanctions.
M23,DRCONGO,DRCONGO,Website www.m23mars.org.
JAYSH AL-SHA'BI,PAARSSR-EO13894,,a.k.a. 'SHA'BI'; a.k.a. 'THE POPULAR ARMY'; a.k.a. 'POPULAR FORCES'; a.k.a. 'POPULAR COMMITTEES'; a.k.a. 'PEOPLE'S ARMY'; a.k.a. 'ARMY OF THE PEOPLE'.
SHABIHA,PAARSSR-EO13894,,
FOREIGN TRADE BANK OF THE DEMOCRATIC PEOPLE'S REPUBLIC OF KOREA,NPWMD] [DPRK3,,"SWIFT/BIC FTBDKPPY; Secondary sanctions risk: North Korea Sanctions Regulations, sections 510.201 and 510.210; Transactions Prohibited For Persons Owned or Controlled By U.S. Financial Institutions: North Korea Sanctions Regulations section 510.214."
POUYA CONTROL,NPWMD] [IFSR,,Website www.pouyacontrol.com; Additional Sanctions Information - Subject to Secondary Sanctions.
MOVEMENT FOR UNITY AND JIHAD IN WEST AFRICA,SDGT,,"Secondary sanctions risk: section 1(b) of Executive Order 13224, as amended by Executive Order 13886; a.k.a. 'MUJWA'; a.k.a. 'MUJAO'; a.k.a. 'TWJWA'."
LEADER (HONG KONG) INTERNATIONAL TRADING LIMITED,NPWMD,,"Secondary sanctions risk: North Korea Sanctions Regulations, sections 510.201 and 510.210; Transactions Prohibited For Persons Owned or Controlled By U.S. Financial Institutions: North Korea Sanctions Regulations section 510.214."
NEDA INDUSTRIAL GROUP,NPWMD] [IFSR,,Additional Sanctions Information - Subject to Secondary Sanctions.
TOWLID ABZAR BORESHI IRAN,NPWMD] [IFSR,,Additional Sanctions Information - Subject to Secondary Sanctions.
TARH O PALAYESH,NPWMD] [IFSR,,Additional Sanctions Information - Subject to Secondary Sanctions.
FARATECH,NPWMD] [IFSR,,Additional Sanctions Information - Subject to Secondary Sanctions.
FORCES DEMOCRATIQUES DE LIBERATION DU RWANDA,DRCONGO,DRCONGO,a.k.a. 'FOCA'.
CHEMICAL INDUSTRIES & DEVELOPMENT OF MATERIALS GROUP,NPWMD] [IFSR,,Additional Sanctions Information - Subject to Secondary Sanctions; Linked To: DEFENSE INDUSTRIES ORGANIZATION.
SAD IMPORT EXPORT COMPANY,NPWMD] [IFSR,,Additional Sanctions Information - Subject to Secondary Sanctions.
DOOSTAN INTERNATIONAL COMPANY,NPWMD] [IFSR,,Additional Sanctions Information - Subject to Secondary Sanctions.
MARINE INDUSTRIES ORGANIZATION,NPWMD] [IFSR] [IRAN-CON-ARMS-EO,,Additional Sanctions Information - Subject to Secondary Sanctions.
INAGAWA-KAI,TCO,,
"CASA EL VIEJO LUIS DISTRIBUIDORA, S.A. DE C.V.",SDNTK,Mexico,RFC CVL090120UT2 (Mexico); Folio Mercantil No. 46920 (Mexico).
KOREAN COMMITTEE FOR SPACE TECHNOLOGY,NPWMD,,"Secondary sanctions risk: North Korea Sanctions Regulations, sections 510.201 and 510.210; Transactions Prohibited For Persons Owned or Controlled By U.S. Financial Institutions: North Korea Sanctions Regulations section 510.214."
"GRUPO COMERCIAL ROOL, S.A. DE C.V.",SDNTK,Mexico,RFC GCR990628KR9 (Mexico); Folio Mercantil No. 38347.
"RANCHO EL NUEVO PACHON, S. DE R.L. DE C.V.",SDNTK,Mexico,Folio Mercantil No. 6022 (Mexico).
ROOL EUROPE AG,SDNTK,Germany,Commercial Registry Number HRB96201 (Germany).
"OPERADORA Y ADMINISTRADORA DE RESTAURANTES Y BARES RUDU, S.A. DE C.V.",SDNTK,Mexico,R.F.C. OAR001006113 (Mexico); Folio Mercantil No. 15247 (Mexico).
"PARQUE ACUATICO LOS CASCABELES, S.A. DE C.V.",SDNTK,Mexico,Folio Mercantil No. 75483 (Mexico).
SIMA GENERAL TRADING CO FZE,IRAN,,Additional Sanctions Information - Subject to Secondary Sanctions.
POLINEX GENERAL TRADING LLC,IRAN,,Additional Sanctions Information - Subject to Secondary Sanctions.
ASIA ENERGY GENERAL TRADING (LLC),IRAN,,Additional Sanctions Information - Subject to Secondary Sanctions.
SYNERGY GENERAL TRADING FZE,IRAN,,Additional Sanctions Information - Subject to Secondary Sanctions.
"RANCHO AGRICOLA GANADERO LOS MEZQUITES, S.A. DE C.V.",SDNTK,Mexico,R.F.C. RAG000412BY5 (Mexico).
SBT S.A.,SDNTK,Colombia,Website www.sebastianomoda.com; NIT # 8300350034 (Colombia); Matricula Mercantil No 816477 (Colombia).
G&G INTERNACIONAL S.A.S.,SDNTK,Colombia,NIT # 9002981691 (Colombia); Matricula Mercantil No 1910782 (Colombia); alt. Matricula Mercantil No 1237153 (Colombia); alt. Matricula Mercantil No 1730043 (Colombia); alt. Matricula Mercantil No 1816081 (Colombia).
INVERSIONES GILFE S.A.,SDNTK,Colombia,NIT # 8301317025 (Colombia); Matricula Mercantil No 1326707 (Colombia).
ISSA EMPRESA UNIPERSONAL,SDNTK,Colombia,NIT # 8300486885 (Colombia); Matricula Mercantil No 745969 (Colombia).
COMERCIALIZADORA INTERNACIONAL ANDINA LIMITADA,SDNTK,Colombia,NIT # 8605112278 (Colombia); Matricula Mercantil No 183816 (Colombia).
PROMESAS DEL FUTBOL COLOMBIANO S.A.,SDNTK,Colombia,NIT # 9002835705 (Colombia); Matricula Mercantil No 1886854 (Colombia).
COLOMBO PERUANA DE TEJIDOS S.A.,SDNTK,Colombia,NIT # 8001711408 (Colombia); Matricula Mercantil No 513540 (Colombia).
IMPIRE SHIPPING COMPANY,IRAN,,Additional Sanctions Information - Subject to Secondary Sanctions.
GRACE BAY SHIPPING INC,IRAN,,Additional Sanctions Information - Subject to Secondary Sanctions.
GARBIN NAVIGATION LTD,IRAN,,Additional Sanctions Information - Subject to Secondary Sanctions.
MONSOON SHIPPING LTD,IRAN,,Additional Sanctions Information - Subject to Secondary Sanctions.
KONING MARINE CORP,IRAN,,Additional Sanctions Information - Subject to Secondary Sanctions.
BLUE TANKER SHIPPING SA,IRAN,,Additional Sanctions Information - Subject to Secondary Sanctions.
JUPITER SEAWAYS SHIPPING,IRAN,,Additional Sanctions Information - Subject to Secondary Sanctions.
HERCULES INTERNATIONAL SHIP,IRAN,,Additional Sanctions Information - Subject to Secondary Sanctions.
HERMIS SHIPPING SA,IRAN,,Additional Sanctions Information - Subject to Secondary Sanctions.
ISLAMIC REPUBLIC OF IRAN BROADCASTING,IRAN-TRA,,Website www.irib.ir; alt. Website http://iransat.irib.ir; Additional Sanctions Information - Subject to Secondary Sanctions; Registration ID 1792; a.k.a. 'IRIB'.
IRANIAN COMMUNICATIONS REGULATORY AUTHORITY,IRAN-TRA,,Website http://www.cra.ir; Additional Sanctions Information - Subject to Secondary Sanctions; a.k.a. 'SAZMAN-E TANZIM MOGHARARAT'.
IRANIAN CYBER POLICE,IRAN-TRA,,Website http://www.cyberpolice.ir; Additional Sanctions Information - Subject to Secondary Sanctions.
"ASESORIA Y SERVICIOS ADMINISTRATIVOS, TECNICOS Y OPERATIVOS DUREL, S.A. DE C.V.",SDNTK,Mexico,Folio Mercantil No. 3048*1 (Mexico).
"CENTRO COMERCIAL Y HABITACIONAL LOMAS, S.A. DE C.V.",SDNTK,,
COMMANDER NAZIR GROUP,SDGT,,"Secondary sanctions risk: section 1(b) of Executive Order 13224, as amended by Executive Order 13886."
LOS CABALLEROS TEMPLARIOS,SDNTK,,
"SISTEMAS ELITE DE SEGURIDAD PRIVADA, S.A. DE C.V.",SDNTK,Mexico,RFC SES-010905-VE6 (Mexico).
LOS CACHIROS,SDNTK,,
ANSAR AL-DINE,FTO] [SDGT,,"Secondary sanctions risk: section 1(b) of Executive Order 13224, as amended by Executive Order 13886."
SAMBOUK SHIPPING FZC,IRAN,,Additional Sanctions Information - Subject to Secondary Sanctions.
T.F.M.C. THE FOOD MANAGEMENT CORPORATION LTD,SDNTK,Israel,Commercial Registry Number 513174466 (Israel).
FUNDACION ISSARA,SDNTK,Panama,RUC # 1333398-1-28957 (Panama).
COMPANIA GANADERA 5 MANANTIALES S. DE P.R. DE R.L.,SDNTK,Mexico,R.F.C. GCM100208902 (Mexico).
"IMPAN-COL, S.A.",SDNTK,Panama,RUC # 3058-123-47645 (Panama).
CHAPS INVESTMENT INC.,SDNTK,Panama,RUC # 63315-21-354702 (Panama).
